epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
MAJOR,N4975,MICHIGAN POWER LIMITED PARTNERSHIP,5795 6th Street,LUDINGTON,49431,MASON,CADILLAC,OWENSC1,"5795 6th Street, LUDINGTON, MI 49431"
MAJOR,N5282,"FIBER-TECH INDUSTRIES, INC.",1637  Marty Paul  Street,CADILLAC,49601,WEXFORD,CADILLAC,LINDGRENJ2,"1637  Marty Paul  Street, CADILLAC, MI 49601"
,N5580,MID MICHIGAN GAS STORAGE CO- ORIENT COMPRESSOR STA,8526 S. Clareola,SEARS,49629,OSCEOLA,CADILLAC,,"8526 S. Clareola, SEARS, MI 49629"
SM OPT OUT,N5760,WOLVERINE POWER SUPPLY - HERSEY,1529 South 170th Avenue,HERSEY,49639,OSCEOLA,CADILLAC,OWENSC1,"1529 South 170th Avenue, HERSEY, MI 49639"
MINOR,N5768,FAB-LITE INC.,330 N. WASHINGTON St.,MANISTEE,49660,MANISTEE,CADILLAC,DICKMANR,"330 N. WASHINGTON St., MANISTEE, MI 49660"
,A0086,FLETCHER PAPER COMPANY,318 W. Fletcher St.,ALPENA,49707,ALPENA,GAYLORD,,"318 W. Fletcher St., ALPENA, MI 49707"
MAJOR,A0767,"EJ USA, INC.",301  Spring St.,EAST JORDAN,49727,CHARLEVOIX,GAYLORD,ROGERSW,"301  Spring St., EAST JORDAN, MI 49727"
MAJOR,B1476,DECORATIVE PANELS INTERNATIONAL,416  Ford Ave.,ALPENA,49707,ALPENA,GAYLORD,RADULSKIR,"416  Ford Ave., ALPENA, MI 49707"
MAJOR,B1477,HOLCIM (US) INC. DBA LAFARGE ALPENA PLANT,1435  Ford Avenue,ALPENA,49707,ALPENA,CADILLAC,CHILDSK,"1435  Ford Avenue, ALPENA, MI 49707"
MAJOR,B1559,ST MARYS CEMENT CHARLEVOIX PLANT,16000  BELLS BAY RD,CHARLEVOIX,49720,CHARLEVOIX,CADILLAC,DICKMANR,"16000  BELLS BAY RD, CHARLEVOIX, MI 49720"
MAJOR,B2942,CONSUMERS ENERGY GAYLORD COMBUSTION TURBINE PLANT,201  Murner Rd.,GAYLORD,49735,OTSEGO,CADILLAC,LINDGRENJ2,"201  Murner Rd., GAYLORD, MI 49735"
MAJOR,B4292,"LAMBDA ENERGY RESOURCES, LLC - KALKASKA GAS PLANT",1510 Thomas Road SW,KALKASKA,49646,KALKASKA,CADILLAC,LINDGRENJ2,"1510 Thomas Road SW, KALKASKA, MI 49646"
MINOR,B5562,SAVOY EXPLORATION KAL 13 GAS SWEET FAC,0  ROSENBURG RD,KALKASKA,49646,KALKASKA,CADILLAC,OWENSC1,"0  ROSENBURG RD, KALKASKA, MI 49646"
SM OPT OUT,B5584,LAMBDA ENERGY RESOURCES LLC - BLUE LAKE 27,13806 Cameron Bridge Rd.,KALKASKA,49646,KALKASKA,CADILLAC,CHILDSK,"13806 Cameron Bridge Rd., KALKASKA, MI 49646"
,B5585,KCS RESOURCES  -  EXCELSIOR 9 CPF,Darke Rd Section 9 Excelsior twp,KALKASKA,49646,KALKASKA,CADILLAC,,"Darke Rd Section 9 Excelsior twp, KALKASKA, MI 49646"
SM OPT OUT,B5667,LAMBDA ENERGY RESOURCES LLC - OTSEGO 6,2443 LAKE MANUKA RD   SEC 6 OTSEGO LAKE TWP,GAYLORD,49735,OTSEGO,GAYLORD,BOWMAND7,"2443 LAKE MANUKA RD   SEC 6 OTSEGO LAKE TWP, GAYLORD, MI 49735"
SM OPT OUT,B5668,LAMBDA ENERGY RESOURCES LLC - FREDERIC 20,10562  CAMERON BRIDGE RD,FREDERIC,49733,CRAWFORD,GAYLORD,BOWMAND7,"10562  CAMERON BRIDGE RD, FREDERIC, MI 49733"
MAJOR,B6175,"CODING PRODUCTS, A DIVISION OF ILLINOIS TOOL WORKS",111 W. Park Dr.,KALKASKA,49646,KALKASKA,GAYLORD,RADULSKIR,"111 W. Park Dr., KALKASKA, MI 49646"
SM OPT OUT,B6497,HOUND RESOURCES - OTSEGO LAKE 27 GAS PLANT,27 E MARLETTE RD,WATERS,49797,OTSEGO,CADILLAC,LINDGRENJ2,"27 E MARLETTE RD, WATERS, MI 49797"
MAJOR,B7196,ANR STORAGE COMPANY - EXCELSIOR COMPRESSOR STATION,4936  State Rd. NE,KALKASKA,49646,KALKASKA,CADILLAC,LINDGRENJ2,"4936  State Rd. NE, KALKASKA, MI 49646"
MAJOR,B7197,ANR -- RAPID RIVER COMPRESSOR STATION,2170  Rabourn Rd. NE,KALKASKA,49646,KALKASKA,CADILLAC,LINDGRENJ2,"2170  Rabourn Rd. NE, KALKASKA, MI 49646"
MAJOR,B7198,ANR PIPELINE-COLD SPRNGS12 /BLUE LK/ COLD SPRNGS 1,10000  Pflum Rd.,MANCELONA,49659,KALKASKA,GAYLORD,RADULSKIR,"10000  Pflum Rd., MANCELONA, MI 49659"
MAJOR,B7219,ANR PIPELINE CO. SOUTH CHESTER COMPRESSOR STATION,6327  Old State Rd.,JOHANNESBURG,49751,OTSEGO,GAYLORD,LEBLANCS,"6327  Old State Rd., JOHANNESBURG, MI 49751"
MAJOR,B7222,"HOUND RESOURCES, FREDERIC 15 GAS PLANT",9038 Deward Road,FREDERIC,49733,CRAWFORD,CADILLAC,LINDGRENJ2,"9038 Deward Road, FREDERIC, MI 49733"
MAJOR,B7302,WEYERHAEUSER NR COMPANY,4111 W FOUR MILE RD,GRAYLING,49738,CRAWFORD,GAYLORD,LEBLANCS,"4111 W FOUR MILE RD, GRAYLING, MI 49738"
MAJOR,B7390,ANR PIPELINE - CENTRAL CHARLTON COMPRESSOR STATION,14490 Beckett Road,JOHANNESBURG,49751,OTSEGO,GAYLORD,LEBLANCS,"14490 Beckett Road, JOHANNESBURG, MI 49751"
SM OPT OUT,B7561,LAMBDA ENERGY RESOURCES LLC - GOOSE CREEK,County Road 612 (SEC 32 BLUE LAKE TWP),KALKASKA,49646,KALKASKA,CADILLAC,CHILDSK,"County Road 612 (SEC 32 BLUE LAKE TWP), KALKASKA, MI 49646"
MAJOR,B8573,GREAT LAKES GAS TRANS STATION #11 (TRANSCANADA #11,10339  GREAT LAKES RD,BOYNE FALLS,49713,CHARLEVOIX,GAYLORD,BOWMAND7,"10339  GREAT LAKES RD, BOYNE FALLS, MI 49713"
,B8972,KALKASKA GAS PROCESSING PLANT,1080  PROUGH RD SW,KALKASKA,49646,KALKASKA,CADILLAC,,"1080  PROUGH RD SW, KALKASKA, MI 49646"
SM OPT OUT,B9142,"LAMBDA ENERGY RESOURCES, LLC - CHARLTON 12",14116  HEATHERTON RD,JOHANNESBURG,49751,OTSEGO,GAYLORD,BOWMAND7,"14116  HEATHERTON RD, JOHANNESBURG, MI 49751"
SM OPT OUT,B9144,"LAMBDA ENERGY RESOURCES, LLC - CHARLTON 4",5750  LOST CABIN TR,JOHANNESBURG,49751,OTSEGO,GAYLORD,BOWMAND7,"5750  LOST CABIN TR, JOHANNESBURG, MI 49751"
MAJOR,N0197,GEORGIA-PACIFIC CORPORATION,2212  Dickerson Rd.,GAYLORD,49734,OTSEGO,GAYLORD,,"2212  Dickerson Rd., GAYLORD, MI 49734"
SM OPT OUT,N0200,LAMBDA ENERGY RESOURCES LLC - OTSEGO LAKE 34,913 Softwood Tr.,WATERS,49797,OTSEGO,GAYLORD,BOWMAND7,"913 Softwood Tr., WATERS, MI 49797"
MAJOR,N0890,NATIONAL ENERGY OF LINCOLN LLC,509  W. State St.,LINCOLN,48742,ALCONA,GAYLORD,BOWMAND7,"509  W. State St., LINCOLN, MI 48742"
MAJOR,N0924,MUSKEGON DEVELOPMENT--HEADQUARTERS--SOUR ZONE CPF,"SE SE Section 29, T21N, R3W",HOUGHTON LAKE,48629,ROSCOMMON,GAYLORD,LEBLANCS,"SE SE Section 29, T21N, R3W, HOUGHTON LAKE, MI 48629"
MAJOR,N1266,HILLMAN POWER CO,750  E. PROGRESS ST,HILLMAN,49746,MONTMORENCY,GAYLORD,RADULSKIR,"750  E. PROGRESS ST, HILLMAN, MI 49746"
MINOR,N1594,"RIETH RILEY CONSTRUCTION CO, INC.",Bayshore Pit,BAY SHORE,49711,CHARLEVOIX,CADILLAC,CHILDSK,"Bayshore Pit, BAY SHORE, MI 49711"
